"idencuesta","ola","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
131300124,5,15893.1990907358,3.24021164427779,22108.4976833883,3.41505791703873
131300128,5,3644.99449681966,0.74311996876752,4579.9754350418,0.70746016275156
131310121,5,4413.04970524833,0.899706532340454,5545.04520138259,0.856532668411372
131310125,5,2745.80423943537,0.559798365246171,4024.31462442619,0.62162828590238
131310126,5,6846.57670775106,1.39583965728004,10034.5022330959,1.55001062421465
131310221,5,5595.61089068011,1.14080012849005,6969.38204342465,1.07654729258914
131310323,5,2304.45333618154,0.469818347518388,3596.07085894621,0.555478279571386
131310324,5,21645.4319402225,4.4129429334975,27466.9579476225,4.2427691623062
131310325,5,4744.95552317674,0.967373531911487,6658.85504541416,1.02858077319027
131310327,5,5157.20743244584,1.05142101845988,7558.52328928554,1.16755082909099
131320222,5,9897.42351681412,2.0178283015547,12327.327092944,1.90417895361185
131320321,5,9610.78078403805,1.95938927268542,NA,NA
131320322,5,9336.31809386936,1.90343343902807,12987.4398333062,2.00614532294168
131320327,5,4723.61221877012,0.963022184956675,6599.84014127058,1.01946485231202
131320328,5,10419.9093507317,2.12434963016605,13092.7300173849,2.02240929898718
132011021,5,50816.155678563,10.3600979517768,72019.0280856995,11.1246433639994
132011025,5,15522.9698943697,3.16473150045852,24223.4020559246,3.74174320450792
132011225,5,8681.74688931057,1.76998332449092,14211.1956692612,2.19517657761805
132011226,5,3584.82037069202,0.730852023022307,4464.92495788377,0.689688532652387
132011228,5,7189.81311173382,1.46581666987364,9123.50905893856,1.40929122770352
132011721,5,9890.597992948,2.01643675402653,NA,NA
132011723,5,9685.33972932883,1.97458991047628,15853.9818969188,2.44893466616423
132011724,5,11413.2139457397,2.32685870947001,NA,NA
132011725,5,16644.7679747695,3.39343707331949,23153.9800206261,3.57655160078146
134010223,5,2280.95329386211,0.465027297564901,2840.94717068519,0.438835748411211
134010224,5,11803.1489996377,2.40635636723791,17298.9699889497,2.67213924995757
134010227,5,11455.8763299958,2.33555646461988,16789.9990787035,2.5935194739117
134010423,5,2089.95529248966,0.426087752131185,2932.9483229313,0.453046992786753
134010424,5,4235.32635250525,0.863473343935114,5917.60618316024,0.914081460220753
134010425,5,29676.9507978189,6.05036160390162,42059.5600841106,6.496860877179
134010427,5,4527.05966116793,0.922950209376476,6325.21652708447,0.977044260860582
134010823,5,24038.8307871199,4.90089496686997,30504.0599865733,4.71190458306192
134010827,5,12913.2244775717,2.63267200508364,18925.9224555194,2.9234515273078
136040121,5,3571.10369969015,0.728055549081017,4487.13084061948,0.693118633454687
136040122,5,7334.07562859363,1.4952280605127,10247.1846737049,1.5828632794705
136040125,5,8094.33868305787,1.65022600571715,10081.5692465429,1.55728097696342
136040128,5,4901.8037148096,0.999350815654756,6159.16995781828,0.951395360646268
