"idencuesta","ola","muestra","segmento_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_atricion_trm","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
9109013,1,1,910901,"Mujer","40 a 49",2,38.1794871794872,57.2692307692308,57.2692307692308,57.2692307692308,67.8884389953032,0.016513883337691,NA,NA
9109021,1,1,910902,"Hombre","40 a 49",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,32.961712178057,0.00801794646591656,NA,NA
9109022,1,1,910902,"Mujer","40 a 49",1,9.5448717948718,9.5448717948718,9.5448717948718,11.3517402233495,13.4566487674467,0.00327333388645559,32.498456393616,0.00352185111047671
9109023,1,1,910902,"Mujer","60 o más",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,25.1110472303624,0.00610826984073303,NA,NA
9109031,1,1,910903,"Mujer","50 a 59",1,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,18.5995061119855,0.00452433549242824,29.6247464882633,0.00321042775243247
9109032,1,1,910903,"Hombre","50 a 59",1,38.1794871794872,38.1794871794872,38.1794871794872,38.1794871794872,54.1834435603703,0.0131801390491867,114.791786283006,0.0124399625353845
9109033,1,1,910903,"Hombre","50 a 59",1,28.6346153846154,28.6346153846154,28.6346153846154,28.6346153846154,40.6375826702778,0.00988510428689001,86.0938397122541,0.00932997190153834
9109041,1,1,910904,"Hombre","60 o más",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,36.5763209559465,0.00889720114540022,NA,NA
9109042,1,1,910904,"Mujer","40 a 49",1,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,22.6294796651011,0.00550462777923035,54.6512858302125,0.00592254873151218
9109043,1,1,910904,"Mujer","60 o más",1,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,25.1110472303624,0.00610826984073303,49.890688762996,0.0054066437954549
9109051,1,1,910905,"Mujer","30 a 39",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,24.1862585525054,0.00588331471488009,NA,NA
9109052,1,1,910905,"Hombre","40 a 49",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,32.961712178057,0.00801794646591656,NA,NA
9109053,1,1,910905,"Hombre","40 a 49",1,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,32.961712178057,0.00801794646591656,105.883078621426,0.0114745276977776
9109061,1,1,910906,"Hombre","60 o más",1,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,36.5763209559465,0.00889720114540022,96.6597517427317,0.010474997639593
9109062,1,1,910906,"Mujer","60 o más",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,25.1110472303624,0.00610826984073303,NA,NA
9109063,1,1,910906,"Mujer","60 o más",1,28.6346153846154,28.6346153846154,28.6346153846154,28.6346153846154,37.6665708455436,0.00916240476109955,74.836033144494,0.00810996569318235
9109071,1,1,910907,"Hombre","30 a 39",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,35.2292896200003,0.00856953536514022,NA,NA
9109072,1,1,910907,"Hombre","30 a 39",1,28.6346153846154,28.6346153846154,28.6346153846154,28.6346153846154,52.8439344300005,0.0128543030477103,182.940779664803,0.0198252550893626
9109073,1,1,910907,"Hombre","60 o más",2,38.1794871794872,38.1794871794872,38.1794871794872,38.1794871794872,73.152641911893,0.0177944022908004,NA,NA
9109081,1,1,910908,"Mujer","30 a 39",2,9.5448717948718,9.5448717948718,9.5448717948718,11.3517402233495,14.3823893061779,0.00349852055275433,NA,NA
9109082,1,1,910908,"Mujer","30 a 39",1,28.6346153846154,28.6346153846154,28.6346153846154,28.6346153846154,36.2793878287582,0.00882497207232015,94.4244252210468,0.0102327557590149
9109083,1,1,910908,"Hombre","30 a 39",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,35.2292896200003,0.00856953536514022,NA,NA
9109091,1,1,910909,"Mujer","40 a 49",1,38.1794871794872,38.1794871794872,38.1794871794872,38.1794871794872,45.2589593302021,0.0110092555584607,109.302571660425,0.0118450974630244
9109092,1,1,910909,"Mujer","50 a 59",2,19.0897435897436,19.0897435897436,19.0897435897436,19.0897435897436,18.5995061119855,0.00452433549242824,NA,NA
9109093,1,1,910909,"Hombre","40 a 49",2,28.6346153846154,28.6346153846154,28.6346153846154,28.6346153846154,49.4425682670854,0.0120269196988748,NA,NA
9109101,1,1,910910,"Hombre","40 a 49",2,19.0897435897436,28.6346153846154,28.6346153846154,28.6346153846154,49.4425682670854,0.0120269196988748,NA,NA
9109102,1,1,910910,"Mujer","60 o más",2,19.0897435897436,28.6346153846154,28.6346153846154,28.6346153846154,37.6665708455436,0.00916240476109955,NA,NA
9109111,1,1,910911,"Mujer","60 o más",1,9.5448717948718,9.5448717948718,9.5448717948718,11.3517402233495,14.9323160657058,0.00363229040349059,29.6675613131752,0.00321506758630133
9109112,1,1,910911,"Mujer","60 o más",1,9.5448717948718,9.5448717948718,9.5448717948718,11.3517402233495,14.9323160657058,0.00363229040349059,29.6675613131752,0.00321506758630133
9109113,1,1,910911,"Mujer","60 o más",1,9.5448717948718,9.5448717948718,9.5448717948718,11.3517402233495,14.9323160657058,0.00363229040349059,29.6675613131752,0.00321506758630133
9111011,1,1,911101,"Hombre","30 a 39",1,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,38.5593920471427,0.00937958378867513,133.48902424836,0.014466178411412
9111012,1,1,911101,"Hombre","60 o más",2,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,40.0337535782094,0.00973822267744527,NA,NA
9111013,1,1,911101,"Mujer","40 a 49",2,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,24.7685658053717,0.00602496113042355,NA,NA
9111021,1,1,911102,"Hombre","30 a 39",1,41.7884615384615,41.7884615384615,41.7884615384615,41.7884615384615,77.1187840942854,0.0187591675773503,266.978048496721,0.0289323568228239
9111022,1,1,911102,"Hombre","30 a 39",2,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,38.5593920471427,0.00937958378867513,NA,NA
9111023,1,1,911102,"Mujer","60 o más",1,31.3413461538462,31.3413461538462,31.3413461538462,31.3413461538462,41.227061004382,0.0100284950701155,81.9100235172862,0.00887657259131225
9111032,1,1,911103,"Hombre","50 a 59",1,20.8942307692308,31.3413461538462,31.3413461538462,31.3413461538462,44.478912261172,0.010819508872773,94.2319914513406,0.0102119017505253
9111033,1,1,911103,"Mujer","60 o más",2,31.3413461538462,47.0120192307692,47.0120192307692,47.0120192307692,61.840591506573,0.0150427426051733,NA,NA
9111041,1,1,911104,"Hombre","30 a 39",1,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,38.5593920471427,0.00937958378867513,133.48902424836,0.014466178411412
9111042,1,1,911104,"Mujer","30 a 39",1,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,26.4725015956654,0.00643944402725039,68.9000255222749,0.00746668175431142
9111043,1,1,911104,"Hombre","40 a 49",2,10.4471153846154,10.4471153846154,10.4471153846154,11.3517402233495,19.60072392817,0.00476788202931699,NA,NA
9111053,1,1,911105,"Hombre","50 a 59",1,20.8942307692308,62.6826923076923,62.6826923076923,62.6826923076923,88.9578245223441,0.021639017745546,188.463982902681,0.0204238035010505
9111061,1,1,911106,"Hombre","30 a 39",1,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,38.5593920471427,0.00937958378867513,133.48902424836,0.014466178411412
9111062,1,1,911106,"Mujer","30 a 39",1,10.4471153846154,10.4471153846154,10.4471153846154,11.3517402233495,14.3823893061779,0.00349852055275433,37.4330694319123,0.00405661412193194
9111063,1,1,911106,"Mujer","30 a 39",2,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,26.4725015956654,0.00643944402725039,NA,NA
9111071,1,1,911107,"Hombre","40 a 49",1,10.4471153846154,10.4471153846154,10.4471153846154,11.3517402233495,19.60072392817,0.00476788202931699,62.9635069171226,0.00682334244032393
9111072,1,1,911107,"Mujer","40 a 49",1,10.4471153846154,10.4471153846154,10.4471153846154,11.3517402233495,13.4566487674467,0.00327333388645559,32.498456393616,0.00352185111047671
9111073,1,1,911107,"Hombre","30 a 39",1,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,38.5593920471427,0.00937958378867512,133.48902424836,0.014466178411412
9111082,1,1,911108,"Mujer","60 o más",2,10.4471153846154,15.6706730769231,15.6706730769231,15.6706730769231,20.613530502191,0.00501424753505775,NA,NA
9111083,1,1,911108,"Mujer","50 a 59",2,20.8942307692308,31.3413461538462,31.3413461538462,31.3413461538462,30.5364792673018,0.00742800782617688,NA,NA
9111091,1,1,911109,"Mujer","30 a 39",1,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,26.4725015956654,0.00643944402725039,68.9000255222749,0.00746668175431142
9111092,1,1,911109,"Mujer","50 a 59",2,31.3413461538462,31.3413461538462,31.3413461538462,31.3413461538462,30.5364792673018,0.00742800782617688,NA,NA
9111093,1,1,911109,"Mujer","40 a 49",1,20.8942307692308,20.8942307692308,20.8942307692308,20.8942307692308,24.7685658053717,0.00602496113042355,59.8172821234311,0.00648238669924914
9111102,1,1,911110,"Mujer","60 o más",2,10.4471153846154,15.6706730769231,15.6706730769231,15.6706730769231,20.613530502191,0.00501424753505775,NA,NA
9111103,1,1,911110,"Hombre","60 o más",2,20.8942307692308,31.3413461538462,31.3413461538462,31.3413461538462,60.0506303673141,0.0146073340161679,NA,NA
9111112,1,1,911111,"Mujer","60 o más",2,31.3413461538462,94.0240384615385,94.0240384615385,94.0240384615385,123.681183013146,0.0300854852103465,NA,NA
9112012,1,1,911201,"Hombre","30 a 39",2,160.017182130584,240.025773195876,240.025773195876,240.025773195876,442.957101043786,0.107749448926716,NA,NA
9112013,1,1,911201,"Mujer","50 a 59",1,480.051546391753,720.077319587629,720.077319587629,720.077319587629,701.585248843675,0.170660824174363,1117.46435694363,0.12109938511397
9112021,1,1,911202,"Mujer","60 o más",1,160.017182130584,160.017182130584,160.017182130584,160.017182130584,210.489941850737,0.0512017420774828,418.201920464656,0.0453204570750403
9112022,1,1,911202,"Mujer","40 a 49",2,480.051546391753,480.051546391753,480.051546391753,480.051546391753,569.065616633481,0.138425383521142,NA,NA
9112023,1,1,911202,"Mujer","18 a 29",2,160.017182130584,160.017182130584,160.017182130584,160.017182130584,263.648143623991,0.0641324907515787,NA,NA
9112031,1,1,911203,"Hombre","18 a 29",2,320.034364261168,480.051546391753,480.051546391753,480.051546391753,1152.07610007247,0.2802428601143,NA,NA
9112032,1,1,911203,"Hombre","30 a 39",2,320.034364261168,480.051546391753,480.051546391753,480.051546391753,885.914202087573,0.215498897853433,NA,NA
9112041,1,1,911204,"Hombre","18 a 29",2,320.034364261168,320.034364261168,320.034364261168,320.034364261168,768.05073338165,0.186828573409533,NA,NA
9112042,1,1,911204,"Hombre","60 o más",2,160.017182130584,160.017182130584,160.017182130584,160.017182130584,306.596041196644,0.0745795798378805,NA,NA
9112043,1,1,911204,"Mujer","30 a 39",1,160.017182130584,160.017182130584,160.017182130584,160.017182130584,202.738026399319,0.0493160862971633,527.666610681627,0.057183123293069
9201021,1,1,920102,"Mujer","60 o más",2,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,27.6184911510866,0.00671820633353568,NA,NA
9201022,1,1,920102,"Mujer","60 o más",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,55.2369823021732,0.0134364126670714,109.744968696993,0.0118930399399112
9201023,1,1,920102,"Hombre","30 a 39",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,77.4941653928785,0.0188504791918734,NA,NA
9201032,1,1,920103,"Mujer","40 a 49",2,41.9918699186992,62.9878048780488,62.9878048780488,62.9878048780488,74.6673858104085,0.0181628642026776,NA,NA
9201033,1,1,920103,"Hombre","50 a 59",2,83.9837398373984,125.975609756098,125.975609756098,125.975609756098,178.781666425055,0.0434886944810385,NA,NA
9201041,1,1,920104,"Hombre","60 o más",2,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,40.2286207896448,0.00978562418561971,NA,NA
9201042,1,1,920104,"Mujer","60 o más",1,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,27.6184911510866,0.00671820633353568,54.8724843484966,0.0059465199699556
9201043,1,1,920104,"Mujer","50 a 59",1,83.9837398373984,83.9837398373984,83.9837398373984,83.9837398373984,81.8269808114311,0.0199044378541233,130.331609228943,0.0141240099878509
9201061,1,1,920106,"Mujer","18 a 29",2,41.9918699186992,62.9878048780488,62.9878048780488,62.9878048780488,103.780216636334,0.025244569114504,NA,NA
