Area,Sexo,Edad,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035
2,1,65,7374,7597,7791,7946,8114,8291,8501,8726,9044,9407,9813,10133,10413,10959,11707,12244,12700,13104,13496,13852,14146,14377,14636,14908,15265,15698,16094,16380,16615,16775,16848,16806,16648,16432
2,1,66,7844,7966,8175,8355,8490,8635,8782,8966,9159,9437,9763,10115,10377,10598,11082,11761,12287,12748,13153,13540,13895,14200,14430,14704,14977,15348,15785,16193,16492,16730,16904,16980,16948,16792
2,1,67,7078,7157,7298,7523,7722,7881,8055,8233,8447,8668,8974,9326,9713,10015,10280,10813,11546,12053,12512,12902,13284,13631,13935,14170,14440,14721,15088,15532,15939,16238,16487,16656,16746,16713
2,1,68,7266,7229,7302,7434,7653,7841,7992,8153,8316,8508,8709,8987,9309,9664,9932,10164,10710,11426,11931,12382,12773,13148,13502,13806,14046,14324,14602,14977,15422,15829,16132,16384,16561,16650
2,1,69,6986,6910,6886,6967,7106,7328,7526,7683,7845,8014,8208,8409,8687,9009,9369,9638,9922,10444,11146,11635,12072,12457,12834,13188,13488,13727,14004,14288,14652,15096,15498,15803,16058,16238
2,1,70,6413,6311,6279,6292,6404,6574,6821,7047,7240,7443,7649,7884,8128,8455,8828,9243,9563,9841,10362,11055,11543,11981,12372,12753,13110,13417,13662,13943,14233,14609,15055,15462,15776,16030
2,1,71,6512,6430,6325,6294,6301,6410,6574,6816,7036,7215,7404,7595,7812,8042,8346,8700,9103,9408,9688,10202,10889,11374,11814,12204,12587,12943,13255,13504,13790,14081,14459,14913,15324,15641
2,1,72,5494,5499,5482,5445,5466,5529,5683,5890,6166,6428,6662,6904,7156,7437,7733,8112,8474,8861,9168,9435,9936,10606,11096,11524,11909,12289,12650,12959,13210,13492,13787,14167,14611,15025
2,1,73,5814,5880,5866,5827,5766,5768,5812,5951,6136,6395,6636,6838,7055,7273,7524,7780,8103,8466,8859,9171,9442,9953,10631,11124,11560,11959,12347,12718,13036,13299,13596,13898,14289,14751
2,1,74,5441,5606,5664,5646,5607,5543,5539,5577,5699,5870,6108,6324,6506,6699,6894,7121,7359,7660,8005,8379,8672,8939,9425,10071,10544,10963,11344,11717,12067,12379,12632,12919,13214,13589
2,1,75,4890,5103,5271,5342,5336,5312,5267,5275,5327,5454,5629,5866,6086,6275,6474,6673,6908,7135,7432,7772,8138,8432,8696,9174,9813,10278,10698,11076,11446,11796,12106,12360,12648,12944
2,1,76,4514,4745,4949,5111,5179,5172,5150,5105,5109,5150,5269,5429,5650,5855,6026,6210,6403,6631,6851,7137,7464,7823,8114,8372,8838,9460,9917,10327,10697,11061,11411,11718,11970,12253
2,1,77,3989,4217,4438,4634,4790,4860,4863,4845,4807,4816,4857,4968,5120,5333,5525,5693,5879,6071,6287,6507,6779,7099,7444,7726,7984,8431,9030,9470,9868,10231,10582,10924,11220,11472
2,1,78,3281,3508,3737,3958,4168,4344,4443,4481,4501,4502,4544,4619,4767,4952,5198,5429,5611,5805,6002,6222,6440,6721,7042,7400,7688,7949,8407,9009,9454,9868,10232,10600,10948,11254
2,1,79,3080,3272,3490,3705,3917,4108,4268,4350,4367,4368,4349,4372,4424,4541,4696,4906,5111,5286,5475,5660,5875,6088,6362,6674,7014,7293,7548,7991,8567,9004,9396,9750,10103,10442
2,1,80,2505,2646,2824,3027,3230,3431,3623,3780,3876,3913,3935,3935,3980,4048,4178,4341,4552,4748,4917,5097,5275,5479,5689,5947,6249,6573,6843,7088,7511,8060,8474,8853,9194,9532
