idencuesta,ola,s10,satis_demo,muestra,m0_sexo,tramo_etario,educ,ponderador01,ponderador02,ponderadorlong_total,ponderadorlong_panel
71011324,3,1,1,2,2,60 o más,Básica,1.50786638259888,1.38687098026276,0.189608000115553,0.199697696998644
71011325,3,0,0,2,1,18 a 29,Técnica,1.50786638259888,1.65549039840698,0.215848956500481,
71011421,3,0,0,2,1,50 a 59,Básica,1.00524425506592,1.10366022586823,0.111586272916189,0.105820188662505
71011422,3,0,0,2,1,30 a 39,Media,2.01048851013184,2.20732045173645,0.250403995857393,0.276238929873516
71011424,3,0,0,2,1,50 a 59,Media,3.01573252677918,3.31098055839539,0.334758808609714,0.317460556372573
71011521,3,1,0,2,1,18 a 29,Universitaria,1.2062931060791,1.32439231872559,0.172679167815355,0.185448112594192
71011522,3,0,0,2,2,18 a 29,Media,0.603146553039551,0.55474841594696,0.0700551184870992,
71011523,3,1,0,2,1,50 a 59,Básica,1.2062931060791,1.32439231872559,0.13390353358274,
71011524,3,0,0,2,2,40 a 49,Media,0.603146553039551,0.55474841594696,0.0768277124554562,0.0673741247464156
71011525,3,0,0,2,2,60 o más,Básica,1.80943953990936,1.66424512863159,0.227529586356267,0.239637221882568
71011821,3,0,0,2,2,30 a 39,Universitaria,1.50786638259888,1.38687098026276,0.152381572884532,
71011822,3,0,0,2,1,30 a 39,Universitaria,0.753933191299439,0.827745199203491,0.0939015012905211,0.103589601839991
71011823,3,1,0,2,2,18 a 29,Universitaria,3.01573276519775,2.77374196052551,0.35027558713109,0.346694729285832
71011824,3,0,1,2,2,60 o más,Técnica,0.753933191299439,0.693435490131378,0.0948040000577763,0.0998488484993221
71011921,3,0,0,2,2,30 a 39,Media,1.51791894435883,1.39611685276032,0.153397458590575,0.155961244292827
71011922,3,0,0,2,1,30 a 39,Universitaria,1.51791894435883,1.66652703285217,0.189055033140004,
71011924,3,0,0,2,1,40 a 49,Técnica,1.51791894435883,1.66652703285217,0.238294323083746,
71011925,3,0,0,2,1,40 a 49,Técnica,1.51791894435883,1.66652703285217,0.238294323083746,
71012121,3,0,0,2,1,30 a 39,Media,1.80943953990936,1.9865882396698,0.225363589446057,0.24861502935635
71012122,3,1,0,2,1,18 a 29,Media,0.603146553039551,0.662196159362793,0.0863395839076775,
71012123,3,0,0,2,1,40 a 49,Media,1.80943953990936,1.9865882396698,0.28405942493476,0.270289726405499
71012124,3,0,0,2,2,18 a 29,Media,1.80943953990936,1.66424512863159,0.210165339548081,0.208016824971071
71012125,3,1,0,2,2,40 a 49,Básica,1.80943953990936,1.66424512863159,0.230483119914739,
71012221,3,0,0,2,1,30 a 39,Media,1.2062931060791,1.32439231872559,0.150242404340033,
71012222,3,0,0,2,2,18 a 29,Media,1.80943953990936,1.66424512863159,0.210165339548081,
71012223,3,0,0,2,1,30 a 39,Media,2.4125862121582,2.64878463745117,0.300484808680065,
71012224,3,0,0,2,1,30 a 39,Técnica,1.2062931060791,1.32439231872559,0.150242404340033,0.165743365453923
71012225,3,0,0,2,2,60 o más,Básica,1.2062931060791,1.10949683189392,0.151686402389508,
71012321,3,,0,2,2,50 a 59,Media,2.26179933547974,2.0803062915802,0.203715080557304,0.1780474829315
71012323,3,,0,2,2,50 a 59,Media,1.50786638259888,1.38687098026276,0.135810067415819,0.118698333937738
71012324,3,0,0,2,1,40 a 49,Media,1.50786638259888,1.65549039840698,0.2367162017845,0.225241452315044
71012325,3,0,0,2,2,18 a 29,Universitaria,1.50786638259888,1.38687098026276,0.175137793565545,
71020521,3,0,0,2,2,30 a 39,Media,0.30331552028656,0.278976649045944,0.0306523821103714,
71020522,3,0,0,2,2,60 o más,Media,0.15165776014328,0.139488324522972,0.0190703402015981,
71020523,3,0,0,2,1,18 a 29,Media,0.60663104057312,0.666021764278412,0.086838382982058,
71020524,3,1,0,2,2,40 a 49,Media,0.30331552028656,0.278976649045944,0.0386357798815445,
71020621,3,0,0,2,2,40 a 49,Media,0.202210322022438,0.185984402894974,0.0257571836790913,0.0225877831169005
71020622,3,1,0,2,2,40 a 49,Media,0.404420644044876,0.371968805789948,0.0515143673581826,0.0451755662338009
71020623,3,0,0,2,2,50 a 59,Básica,0.202210322022438,0.185984402894974,0.0182126203843463,
71020921,3,0,0,2,1,50 a 59,Media,0.303315460681915,0.333010822534561,0.033669274436085,0.0319294558357746
71020923,3,0,0,2,2,18 a 29,Universitaria,0.606630921363831,0.557953178882599,0.0704598287105585,
71020924,3,1,1,2,2,40 a 49,Universitaria,0.151657730340958,0.13948829472065,0.0193178870321672,0.0169408366999995
71020925,3,0,1,2,2,60 o más,Universitaria,0.303315460681915,0.278976589441299,0.038140674660531,
71021122,3,1,1,2,2,40 a 49,Media,0.202210322022438,0.185984402894974,0.0257571836790913,0.0225877831169005
71021124,3,1,0,2,2,30 a 39,Básica,0.202210322022438,0.185984402894974,0.0204349190993208,
71021125,3,0,0,2,1,60 o más,Media,0.404420644044876,0.444014459848404,0.0626754128314854,
71021621,3,1,1,2,2,40 a 49,Universitaria,0.485304743051529,0.446362555027008,0.0618172396663771,0.0542106784602797
71021625,3,1,0,2,2,18 a 29,Universitaria,0.72795706987381,0.669543743133545,0.0845517880873836,0.0836874174465887
71021923,3,0,0,2,2,60 o más,Básica,1.81989300251007,1.67385959625244,0.228844059448516,
71022023,3,0,0,2,2,40 a 49,Media,0.485304802656174,0.44636258482933,0.0618172454835871,0.0542106835616867
71022024,3,0,0,2,2,30 a 39,Básica,0.36397859454155,0.334771931171417,0.0367828548402962,0.0373976196362324
71022025,3,0,0,2,1,40 a 49,Media,0.242652401328087,0.266408711671829,0.0380933996589738,0.036246833119669
71022121,3,0,0,2,2,50 a 59,Básica,0.454973250627518,0.41846489906311,0.0409783963789399,0.0358152195207128
71022122,3,0,0,2,2,30 a 39,Media,0.454973250627518,0.41846489906311,0.0459785685503703,0.0467470245452905
71022123,3,0,0,2,1,40 a 49,Técnica,0.15165776014328,0.166505441069603,0.0238083756830378,0.0226542715525302
71022125,3,0,0,2,2,50 a 59,Básica,0.15165776014328,0.139488324522972,0.0136594668307416,0.0119384077052447
71022221,3,0,0,2,2,50 a 59,Media,0.727957189083099,0.669543921947479,0.0655654383195888,
71022223,3,0,0,2,2,50 a 59,Media,0.36397859454155,0.33477196097374,0.0327827191597944,
71022321,3,1,0,2,1,18 a 29,Media,0.454973250627518,0.499516278505325,0.0651287806991174,0.0699447976789378
71022322,3,0,0,2,2,18 a 29,Media,0.454973250627518,0.41846489906311,0.0528448741851216,0.0523046424668413
71022324,3,0,0,2,2,18 a 29,Media,0.30331552028656,0.278976649045944,0.0352299196596847,0.03486976514468
71022325,3,0,0,2,2,60 o más,Básica,0.60663104057312,0.557953298091888,0.0762813608063923,
71022523,3,0,0,2,2,50 a 59,Básica,0.161768272519112,0.148787528276443,0.0145700977471268,
71022524,3,0,0,2,2,60 o más,Básica,0.323536545038223,0.297575056552887,0.0406833918558094,0.042848295719312
71022525,3,0,0,2,2,60 o más,Media,0.323536545038223,0.297575056552887,0.0406833918558094,0.042848295719312
74010325,3,0,0,2,1,18 a 29,Universitaria,0.36397859454155,0.399613052606583,0.052103027828007,
74010822,3,1,0,2,2,60 o más,Básica,0.202210322022438,0.185984402894974,0.0254271173974648,
74010823,3,0,0,2,2,60 o más,Básica,0.202210322022438,0.185984402894974,0.0254271173974648,0.0267801821784596
74010825,3,0,0,2,1,60 o más,Básica,0.202210322022438,0.222007229924202,0.0313377064157427,
74010922,3,1,0,2,2,40 a 49,Básica,0.647073090076447,0.595150113105774,0.0824229959171862,
74010923,3,0,0,2,2,60 o más,Media,0.323536545038223,0.297575056552887,0.0406833918558094,0.042848295719312
74010924,3,1,0,2,2,50 a 59,Básica,0.161768272519112,0.148787528276443,0.0145700977471268,
74011121,3,0,1,2,2,60 o más,Universitaria,0.808841288089752,0.743937611579895,0.101708469589859,
74011123,3,1,0,2,1,30 a 39,Universitaria,0.606630921363831,0.666021585464478,0.0755551736013692,0.0833504282972236
74011125,3,1,0,2,2,18 a 29,Universitaria,0.606630921363831,0.557953119277954,0.070459823406153,0.0697395145388239
74011423,3,1,0,2,2,40 a 49,Media,0.323536545038223,0.297575056552887,0.0412114979585931,
74011425,3,0,0,2,2,30 a 39,Media,0.323536545038223,0.297575056552887,0.0326958737895442,
74011521,3,0,0,2,2,18 a 29,Universitaria,0.485304802656174,0.44636258482933,0.0563678693337333,0.0557916221314165
74011523,3,0,0,2,2,30 a 39,Universitaria,0.485304802656174,0.44636258482933,0.0490438095305195,0.0498634959765246
74011722,3,1,1,2,1,30 a 39,Básica,0.404420644044876,0.444014459848404,0.0503701214222433,
74011724,3,0,0,2,2,40 a 49,Universitaria,0.404420644044876,0.371968805789948,0.0515143673581826,0.0451755662338009
74011725,3,1,0,2,1,40 a 49,Técnica,0.404420644044876,0.444014459848404,0.0634889946520009,
74012221,3,0,0,2,1,18 a 29,Media,0.60663104057312,0.666021764278412,0.086838382982058,
74012222,3,0,0,2,1,50 a 59,Básica,0.30331552028656,0.333010882139206,0.0336692795055121,
74012224,3,0,0,2,1,18 a 29,Media,0.15165776014328,0.166505441069603,0.0217095957455145,0.0233149348999269
74012225,3,0,0,2,1,30 a 39,Técnica,0.15165776014328,0.166505441069603,0.0188887976663402,
74012321,3,0,0,2,2,40 a 49,Media,0.202210322022438,0.185984402894974,0.0257571836790913,0.0225877831169005
74012322,3,0,0,2,2,40 a 49,Técnica,0.606630921363831,0.557953178882599,0.0772715481286689,0.0677633467999978
74012323,3,1,0,2,2,60 o más,Básica,0.202210322022438,0.185984402894974,0.0254271173974648,0.0267801821784596
74012421,3,0,0,2,1,50 a 59,Básica,0.60663104057312,0.666021764278412,0.0673385590110242,
81010421,3,1,0,2,1,18 a 29,Universitaria,0.659692466259003,0.732914924621582,0.767499525355023,
81010423,3,1,0,2,1,18 a 29,Universitaria,1.31938493251801,1.46582984924316,1.53499905071005,
81010425,3,0,0,2,1,30 a 39,Técnica,1.31938493251801,1.46582984924316,1.33555165313831,1.47334453745634
81010622,3,0,0,2,2,50 a 59,Media,1.34697556495667,1.22855114936829,0.986003187157713,0.861769217848772
81010721,3,0,0,2,2,60 o más,Básica,0.336743861436844,0.307137757539749,0.344146210040409,
81010724,3,0,0,2,2,40 a 49,Media,1.01023149490356,0.921413242816925,1.04584054237914,0.917150711834154
81010725,3,0,0,2,2,18 a 29,Media,1.01023149490356,0.921413242816925,0.953646552439812,
81010728,3,0,0,2,2,50 a 59,Media,1.34697544574738,1.228551030159,0.986003121345153,0.861769160328432
81010922,3,0,0,2,1,40 a 49,Media,0.359193503856659,0.399062126874924,0.458292854848803,
81010923,3,0,0,2,1,50 a 59,Técnica,0.359193503856659,0.399062126874924,0.324053821031494,
81010925,3,0,0,2,2,50 a 59,Media,1.07758033275604,0.982840836048126,0.788802497076122,0.689415328262746
81011121,3,1,0,2,2,40 a 49,Media,0.336743891239166,0.307137787342072,0.348613552907782,
81011122,3,0,0,2,2,40 a 49,Media,0.673487782478333,0.614275574684143,0.697227105815563,0.611433875908197
81011123,3,0,0,2,1,30 a 39,Media,0.673487782478333,0.748241424560547,0.681740178125876,
81011127,3,0,0,2,2,50 a 59,Básica,1.68371939659119,1.53568875789642,1.23250393458772,1.07721147917071
81011223,3,0,0,2,2,40 a 49,Técnica,0.721108078956604,0.657709121704102,0.746525959649998,
81011225,3,1,0,2,2,18 a 29,Universitaria,0.721108078956604,0.657709121704102,0.680717450585266,
81011227,3,1,0,2,2,18 a 29,Universitaria,2.16332411766052,1.97312748432159,2.04215230932055,2.02127544154357
81011625,3,,0,2,2,30 a 39,Universitaria,0.538790225982666,0.491420418024063,0.442526012671452,0.44992210563535
81011626,3,1,0,2,2,60 o más,Básica,0.538790225982666,0.491420418024063,0.550633982005976,0.579935118923112
81011628,3,1,0,2,2,30 a 39,Universitaria,1.07758045196533,0.982840836048126,0.885052025342903,0.8998442112707
81011723,3,0,1,2,2,40 a 49,Media,2.15516042709351,1.96568143367767,2.23112640353851,1.95658810906518
81011725,3,0,0,2,1,60 o más,Universitaria,0.718386948108673,0.798124194145203,0.904840035203636,1.03403040226695
81011727,3,0,1,2,1,30 a 39,Universitaria,2.15516042709351,2.39437246322632,2.18156824237417,2.40664720487404
81012322,3,1,1,2,1,18 a 29,Técnica,0.441250532865524,0.490227103233337,0.513359805094905,
81012324,3,0,0,2,2,18 a 29,Universitaria,0.441250532865524,0.402456372976303,0.416535270900694,0.412277042101914
81012328,3,,0,2,2,50 a 59,Media,0.441250532865524,0.402456372976303,0.32300100435443,0.282303674584737
81030121,3,0,0,2,2,50 a 59,Universitaria,1.87678599357605,1.71178126335144,1.37383114297853,
81030125,3,0,0,2,1,30 a 39,Universitaria,1.25119078159332,1.39006650447845,1.26652184657535,
81030128,3,0,0,2,1,18 a 29,Universitaria,3.12797665596008,3.47516584396362,3.63915102046378,3.90825191439348
81030221,3,0,0,2,2,18 a 29,Técnica,0.538790225982666,0.491420418024063,0.50861155970194,0.503412037495255
81030222,3,0,0,2,2,40 a 49,Media,1.61637055873871,1.47426128387451,1.67334494226692,1.46744120423266
81030223,3,0,0,2,2,40 a 49,Media,0.538790225982666,0.491420418024063,0.557781693959987,0.489147108888809
81030227,3,0,0,2,1,30 a 39,Técnica,1.07758045196533,1.19718635082245,1.09078430320299,
81030321,3,0,0,2,1,50 a 59,Técnica,1.43234121799469,1.59132373332977,1.29221619557219,1.22544250322706
81030324,3,1,1,2,1,50 a 59,Básica,0.477447062730789,0.530441224575043,0.430738718338925,0.408480821589099
81030325,3,1,0,2,1,18 a 29,Universitaria,2.38723516464233,2.65220618247986,2.77735759604929,
81030327,3,,1,2,2,60 o más,Media,0.954894125461578,0.870941042900085,0.97588472546659,
81030423,3,0,0,2,2,30 a 39,Media,1.00972902774811,0.920954883098602,0.829323385294967,0.843184158852093
81030426,3,1,1,2,1,18 a 29,Universitaria,0.504864513874054,0.560901820659638,0.587369535334203,0.630803200531578
81030427,3,0,0,2,2,60 o más,Básica,1.00972902774811,0.920954883098602,1.03192496020495,1.08683725318953
81030428,3,0,0,2,1,18 a 29,Técnica,0.504864513874054,0.560901820659638,0.587369535334203,
81030521,3,0,0,2,1,18 a 29,Universitaria,1.27974939346313,1.421795129776,1.48888634813982,
81030522,3,1,0,2,2,30 a 39,Universitaria,0.639874696731567,0.583617746829987,0.52555001250457,0.534333714791802
81030524,3,0,0,2,1,30 a 39,Universitaria,1.27974939346313,1.421795129776,1.29543052334357,
81030721,3,0,0,2,1,60 o más,Media,1.41432416439056,1.57130694389343,1.78140380161326,2.03574733424287
81030723,3,0,0,2,2,50 a 59,Media,1.41432416439056,1.2899786233902,1.03530331031869,
81030724,3,1,0,2,1,18 a 29,Media,1.88576579093933,2.09507608413696,2.1939380258671,
81030726,3,0,0,2,2,18 a 29,Media,0.942882895469666,0.859985828399658,0.890070240087206,
81030826,3,1,0,2,1,18 a 29,Técnica,4.02684354782105,4.47380256652832,4.29713877889033,4.61489527765526
81030827,3,0,0,2,1,50 a 59,Básica,2.01342177391052,2.23690128326416,1.81645003379973,1.72258719866978
81030923,3,0,0,2,2,50 a 59,Técnica,0.862064361572266,0.786272704601288,0.631042023985922,0.551532285618333
81030924,3,0,1,2,1,40 a 49,Media,0.862064361572266,0.95774906873703,1.09990278281057,
81030925,3,0,0,2,1,60 o más,Básica,0.431032180786133,0.478874534368515,0.542904021122182,
81030926,3,1,0,2,2,30 a 39,Técnica,0.862064361572266,0.786272704601288,0.708041590737126,0.719875338985699
81030927,3,0,0,2,1,50 a 59,Básica,0.431032180786133,0.478874534368515,0.388864560904543,0.368770460054596
81050122,3,0,0,2,1,50 a 59,Media,0.377153158187866,0.419015228748322,0.34025650093033,0.322674162162712
81050123,3,0,0,2,2,18 a 29,Universitaria,1.13145935535431,1.03198289871216,1.06808413533777,
81050126,3,0,0,2,1,30 a 39,Técnica,0.754306316375732,0.838030457496643,0.763549003141299,
81050127,3,0,0,2,1,50 a 59,Media,0.754306316375732,0.838030457496643,0.680513001860659,0.645348324325425
81050128,3,0,0,2,2,60 o más,Media,0.377153158187866,0.343994289636612,0.385443782810051,0.405954578407577
81050221,3,0,1,2,2,30 a 39,Técnica,0.754306316375732,0.687988579273224,0.619536410355733,
81050222,3,1,1,2,2,18 a 29,Técnica,1.50861263275146,1.37597715854645,1.42411235019133,
81050225,3,0,1,2,1,60 o más,Básica,0.377153158187866,0.419015228748322,0.47504103263703,0.542865977366295
81050226,3,0,1,2,1,60 o más,Básica,0.754306316375732,0.838030457496643,0.950082065274059,
81050228,3,0,0,2,1,60 o más,Media,0.754306316375732,0.838030457496643,0.950082065274059,1.08573195473259
81060121,3,0,0,2,2,30 a 39,Media,0.471441447734833,0.429992914199829,0.387210265702707,
81060123,3,0,0,2,2,50 a 59,Media,0.942882895469666,0.859985828399658,0.690202250754167,
81060125,3,0,0,2,2,18 a 29,Técnica,0.942882895469666,0.859985828399658,0.890070240087206,
81060126,3,0,0,2,2,18 a 29,Técnica,0.942882895469666,0.859985828399658,0.890070240087206,
81060222,3,0,0,2,1,50 a 59,Media,1.25717711448669,1.39671730995178,1.13418828236054,
81060226,3,0,0,2,2,18 a 29,Media,0.628588557243347,0.573323786258698,0.593380117622894,
81060227,3,0,0,2,2,40 a 49,Básica,0.628588557243347,0.573323786258698,0.650745270838584,0.570671593027563
81060321,3,0,0,2,2,60 o más,Básica,0.323274165391922,0.294852286577225,0.33038039839185,
81060324,3,0,0,2,2,60 o más,Técnica,0.323274165391922,0.294852286577225,0.33038039839185,
81060326,3,0,0,2,2,60 o más,Básica,0.323274165391922,0.294852286577225,0.33038039839185,
81060327,3,1,0,2,2,50 a 59,Media,0.969822347164154,0.884556770324707,0.709922260531022,0.620473806940539
81060328,3,0,0,2,1,50 a 59,Media,0.969822347164154,1.07746767997742,0.874945241757514,
81060621,3,1,0,2,2,30 a 39,Media,1.2930965423584,1.17940902709961,1.06206238610569,
81060622,3,0,0,2,2,30 a 39,Básica,0.86206442117691,0.786272823810577,0.708041664580117,
81060624,3,0,0,2,1,40 a 49,Media,0.86206442117691,0.95774918794632,1.0999028975215,1.04658542244103
81060625,3,0,0,2,2,30 a 39,Media,0.86206442117691,0.786272823810577,0.708041664580117,0.719875414062853
81060628,3,0,1,2,2,40 a 49,Media,1.2930965423584,1.17940902709961,1.33867600965875,
81080121,3,0,0,2,2,50 a 59,Media,1.07758033275604,0.982840836048126,0.788802497076122,0.689415328262746
81080122,3,0,0,2,1,30 a 39,Media,0.718386948108673,0.798124194145203,0.727189505132676,0.802215835355532
81080124,3,1,0,2,2,40 a 49,Media,0.359193474054337,0.32761362195015,0.371854447127431,0.326098058988787
81080125,3,0,0,2,1,40 a 49,Media,0.359193474054337,0.399062097072601,0.45829282617107,
81080127,3,1,0,2,2,50 a 59,Media,1.07758033275604,0.982840836048126,0.788802497076122,0.689415328262746
81080128,3,1,0,2,2,60 o más,Básica,0.359193474054337,0.32761362195015,0.367089306023544,0.386623396486735
81080321,3,0,1,2,2,30 a 39,Técnica,1.68805086612701,1.53963947296143,1.38645131871755,1.40962356746572
81080322,3,,0,2,1,50 a 59,Media,1.12536728382111,1.2502772808075,1.0152733110208,0.962810303709315
81080323,3,0,0,2,2,40 a 49,Media,1.12536728382111,1.02642643451691,1.16503461732184,1.02167805252361
