idencuesta,ola,muestra,responde,estrato_disenno,segmento_disenno,sexo_imp,edad_imp_tramo,edu_imp,civil_imp,ola_num
1107012,2016,Original,Responde,Ciudades Grandes,110701,Hombre,45 a 59,Universitaria,En Pareja,0
1107012,2017,Original,Responde,Ciudades Grandes,110701,Hombre,45 a 59,Universitaria,En Pareja,1
1107012,2018,Original,Responde,Ciudades Grandes,110701,Hombre,45 a 59,Universitaria,Soltero,2
1107012,2019,Original,Responde,Ciudades Grandes,110701,Hombre,45 a 59,Universitaria,En Pareja,3
1107012,2021,Original,Responde,Ciudades Grandes,110701,Hombre,45 a 59,Universitaria,Soltero,5
1107012,2022,Original,Responde,Ciudades Grandes,110701,Hombre,45 a 59,Universitaria,Soltero,6
1107013,2016,Original,Responde,Ciudades Grandes,110701,Hombre,30 a 44,Media,En Pareja,0
1107013,2017,Original,Responde,Ciudades Grandes,110701,Hombre,30 a 44,Media,En Pareja,1
1107013,2018,Original,Responde,Ciudades Grandes,110701,Hombre,30 a 44,Básica,En Pareja,2
1107013,2019,Original,No Responde,Ciudades Grandes,110701,Hombre,30 a 44,Básica,En Pareja,3
1107013,2021,Original,No Responde,Ciudades Grandes,110701,Hombre,30 a 44,Básica,En Pareja,5
1107013,2022,Original,No Responde,Ciudades Grandes,110701,Hombre,30 a 44,Básica,En Pareja,6
1107021,2016,Original,Responde,Ciudades Grandes,110702,Hombre,18 a 29,Técnica,Soltero,0
1107021,2017,Original,Responde,Ciudades Grandes,110702,Hombre,18 a 29,Universitaria,Soltero,1
1107021,2018,Original,Responde,Ciudades Grandes,110702,Hombre,18 a 29,Técnica,Soltero,2
1107021,2019,Original,Responde,Ciudades Grandes,110702,Hombre,18 a 29,Universitaria,Soltero,3
1107021,2021,Original,Responde,Ciudades Grandes,110702,Hombre,18 a 29,Técnica,Soltero,5
1107021,2022,Original,Responde,Ciudades Grandes,110702,Hombre,18 a 29,Técnica,Soltero,6
1107033,2016,Original,Responde,Ciudades Grandes,110703,Hombre,18 a 29,Media,Soltero,0
1107033,2017,Original,Responde,Ciudades Grandes,110703,Hombre,18 a 29,Media,Soltero,1
1107033,2018,Original,Responde,Ciudades Grandes,110703,Hombre,18 a 29,Media,Soltero,2
1107033,2019,Original,Responde,Ciudades Grandes,110703,Hombre,18 a 29,Media,Soltero,3
1107033,2021,Original,No Responde,Ciudades Grandes,110703,Hombre,18 a 29,Media,Soltero,5
1107033,2022,Original,Responde,Ciudades Grandes,110703,Hombre,18 a 29,Media,En Pareja,6
1107072,2016,Original,Responde,Ciudades Grandes,110707,Mujer,18 a 29,Básica,Soltero,0
1107072,2017,Original,Responde,Ciudades Grandes,110707,Mujer,18 a 29,Universitaria,Soltero,1
1107072,2018,Original,No Responde,Ciudades Grandes,110707,Mujer,18 a 29,Universitaria,Soltero,2
1107072,2019,Original,Responde,Ciudades Grandes,110707,Mujer,18 a 29,Técnica,En Pareja,3
1107072,2021,Original,Responde,Ciudades Grandes,110707,Mujer,18 a 29,Técnica,Soltero,5
1107072,2022,Original,Responde,Ciudades Grandes,110707,Mujer,18 a 29,Media,En Pareja,6
1107082,2016,Original,Responde,Ciudades Grandes,110708,Mujer,30 a 44,Media,Soltero,0
1107082,2017,Original,Responde,Ciudades Grandes,110708,Mujer,30 a 44,Media,Soltero,1
1107082,2018,Original,Responde,Ciudades Grandes,110708,Mujer,30 a 44,Técnica,Soltero,2
1107082,2019,Original,Responde,Ciudades Grandes,110708,Mujer,30 a 44,Técnica,En Pareja,3
1107082,2021,Original,Responde,Ciudades Grandes,110708,Mujer,30 a 44,Técnica,Soltero,5
1107082,2022,Original,No Responde,Ciudades Grandes,110708,Mujer,30 a 44,Técnica,Soltero,6
1107083,2016,Original,Responde,Ciudades Grandes,110708,Mujer,18 a 29,Técnica,Soltero,0
1107083,2017,Original,Responde,Ciudades Grandes,110708,Mujer,18 a 29,Media,Soltero,1
1107083,2018,Original,No Responde,Ciudades Grandes,110708,Mujer,18 a 29,Media,Soltero,2
1107083,2019,Original,Responde,Ciudades Grandes,110708,Mujer,18 a 29,Media,En Pareja,3
1107083,2021,Original,Responde,Ciudades Grandes,110708,Mujer,18 a 29,Media,En Pareja,5
1107083,2022,Original,Responde,Ciudades Grandes,110708,Mujer,18 a 29,Media,En Pareja,6
2101021,2016,Original,Responde,Ciudades Grandes,210102,Mujer,18 a 29,Universitaria,Soltero,0
2101021,2017,Original,Responde,Ciudades Grandes,210102,Mujer,18 a 29,Universitaria,Soltero,1
2101021,2018,Original,Responde,Ciudades Grandes,210102,Mujer,18 a 29,Universitaria,Soltero,2
2101021,2019,Original,No Responde,Ciudades Grandes,210102,Mujer,18 a 29,Universitaria,Soltero,3
2101021,2021,Original,Responde,Ciudades Grandes,210102,Mujer,18 a 29,Universitaria,Soltero,5
2101021,2022,Original,No Responde,Ciudades Grandes,210102,Mujer,18 a 29,Universitaria,Soltero,6
2101032,2016,Original,Responde,Ciudades Grandes,210103,Hombre,30 a 44,Media,En Pareja,0
2101032,2017,Original,Responde,Ciudades Grandes,210103,Hombre,30 a 44,Media,En Pareja,1
2101032,2018,Original,Responde,Ciudades Grandes,210103,Hombre,30 a 44,Media,En Pareja,2
2101032,2019,Original,Responde,Ciudades Grandes,210103,Hombre,30 a 44,Media,En Pareja,3
2101032,2021,Original,No Responde,Ciudades Grandes,210103,Hombre,30 a 44,Media,En Pareja,5
2101032,2022,Original,Responde,Ciudades Grandes,210103,Hombre,30 a 44,Media,En Pareja,6
2101033,2016,Original,Responde,Ciudades Grandes,210103,Hombre,45 a 59,Media,En Pareja,0
2101033,2017,Original,Responde,Ciudades Grandes,210103,Hombre,45 a 59,Media,En Pareja,1
2101033,2018,Original,Responde,Ciudades Grandes,210103,Hombre,45 a 59,Media,En Pareja,2
2101033,2019,Original,Responde,Ciudades Grandes,210103,Hombre,45 a 59,Media,En Pareja,3
2101033,2021,Original,Responde,Ciudades Grandes,210103,Hombre,45 a 59,Media,En Pareja,5
2101033,2022,Original,Responde,Ciudades Grandes,210103,Hombre,45 a 59,Media,En Pareja,6
2101041,2016,Original,Responde,Ciudades Grandes,210104,Mujer,45 a 59,Media,En Pareja,0
2101041,2017,Original,No Responde,Ciudades Grandes,210104,Mujer,45 a 59,Media,En Pareja,1
2101041,2018,Original,No Responde,Ciudades Grandes,210104,Mujer,45 a 59,Media,En Pareja,2
2101041,2019,Original,No Responde,Ciudades Grandes,210104,Mujer,45 a 59,Media,En Pareja,3
2101041,2021,Original,No Responde,Ciudades Grandes,210104,Mujer,45 a 59,Media,En Pareja,5
2101041,2022,Original,No Responde,Ciudades Grandes,210104,Mujer,45 a 59,Media,En Pareja,6
2101042,2016,Original,Responde,Ciudades Grandes,210104,Mujer,60 0 más,Básica,En Pareja,0
2101042,2017,Original,No Responde,Ciudades Grandes,210104,Mujer,60 0 más,Básica,En Pareja,1
2101042,2018,Original,No Responde,Ciudades Grandes,210104,Mujer,60 0 más,Básica,En Pareja,2
2101042,2019,Original,No Responde,Ciudades Grandes,210104,Mujer,60 0 más,Básica,En Pareja,3
2101042,2021,Original,No Responde,Ciudades Grandes,210104,Mujer,60 0 más,Básica,En Pareja,5
2101042,2022,Original,No Responde,Ciudades Grandes,210104,Mujer,60 0 más,Básica,En Pareja,6
2101043,2016,Original,Responde,Ciudades Grandes,210104,Mujer,30 a 44,Básica,En Pareja,0
2101043,2017,Original,Responde,Ciudades Grandes,210104,Mujer,30 a 44,Media,En Pareja,1
2101043,2018,Original,Responde,Ciudades Grandes,210104,Mujer,30 a 44,Básica,Soltero,2
2101043,2019,Original,Responde,Ciudades Grandes,210104,Mujer,30 a 44,Media,Soltero,3
2101043,2021,Original,Responde,Ciudades Grandes,210104,Mujer,30 a 44,Media,En Pareja,5
2101043,2022,Original,Responde,Ciudades Grandes,210104,Mujer,30 a 44,Media,Soltero,6
2101052,2016,Original,Responde,Ciudades Grandes,210105,Hombre,45 a 59,Técnica,En Pareja,0
2101052,2017,Original,Responde,Ciudades Grandes,210105,Hombre,45 a 59,Técnica,En Pareja,1
2101052,2018,Original,Responde,Ciudades Grandes,210105,Hombre,45 a 59,Técnica,En Pareja,2
2101052,2019,Original,Responde,Ciudades Grandes,210105,Hombre,45 a 59,Técnica,En Pareja,3
2101052,2021,Original,No Responde,Ciudades Grandes,210105,Hombre,45 a 59,Técnica,En Pareja,5
2101052,2022,Original,Responde,Ciudades Grandes,210105,Hombre,45 a 59,Técnica,En Pareja,6
2101053,2016,Original,Responde,Ciudades Grandes,210105,Mujer,45 a 59,Media,Soltero,0
2101053,2017,Original,Responde,Ciudades Grandes,210105,Mujer,45 a 59,Media,Soltero,1
2101053,2018,Original,Responde,Ciudades Grandes,210105,Mujer,45 a 59,Básica,Soltero,2
2101053,2019,Original,No Responde,Ciudades Grandes,210105,Mujer,45 a 59,Básica,Soltero,3
2101053,2021,Original,No Responde,Ciudades Grandes,210105,Mujer,45 a 59,Básica,Soltero,5
2101053,2022,Original,No Responde,Ciudades Grandes,210105,Mujer,45 a 59,Básica,Soltero,6
2101062,2016,Original,Responde,Ciudades Grandes,210106,Hombre,30 a 44,Media,En Pareja,0
2101062,2017,Original,Responde,Ciudades Grandes,210106,Hombre,30 a 44,Media,En Pareja,1
2101062,2018,Original,Responde,Ciudades Grandes,210106,Hombre,30 a 44,Media,En Pareja,2
2101062,2019,Original,Responde,Ciudades Grandes,210106,Hombre,30 a 44,Media,En Pareja,3
2101062,2021,Original,Responde,Ciudades Grandes,210106,Hombre,30 a 44,Media,En Pareja,5
2101062,2022,Original,Responde,Ciudades Grandes,210106,Hombre,30 a 44,Media,En Pareja,6
2101071,2016,Original,Responde,Ciudades Grandes,210107,Mujer,60 0 más,Básica,Soltero,0
2101071,2017,Original,Responde,Ciudades Grandes,210107,Mujer,60 0 más,Básica,Soltero,1
2101071,2018,Original,Responde,Ciudades Grandes,210107,Mujer,60 0 más,Básica,Soltero,2
2101071,2019,Original,Responde,Ciudades Grandes,210107,Mujer,60 0 más,Básica,Soltero,3
2101071,2021,Original,Responde,Ciudades Grandes,210107,Mujer,60 0 más,Básica,Soltero,5
2101071,2022,Original,Responde,Ciudades Grandes,210107,Mujer,60 0 más,Básica,Soltero,6
2101072,2016,Original,Responde,Ciudades Grandes,210107,Hombre,18 a 29,Media,Soltero,0
2101072,2017,Original,Responde,Ciudades Grandes,210107,Hombre,18 a 29,Media,Soltero,1
2101072,2018,Original,Responde,Ciudades Grandes,210107,Hombre,18 a 29,Media,En Pareja,2
2101072,2019,Original,Responde,Ciudades Grandes,210107,Hombre,18 a 29,Media,Soltero,3
2101072,2021,Original,Responde,Ciudades Grandes,210107,Hombre,18 a 29,Media,En Pareja,5
2101072,2022,Original,Responde,Ciudades Grandes,210107,Hombre,18 a 29,Media,Soltero,6
2101073,2016,Original,Responde,Ciudades Grandes,210107,Hombre,45 a 59,Media,En Pareja,0
