"idencuesta","ola","muestra","segmento_disenno","estrato_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_modelob","pd_atricion_trm","pd_nr_trm","pd_modelob_trm","ponderadorlong_total","ponderadorlong_modelob","ponderadorlong_nr","ponderadorlong_panel"
5101021,6,1,510102,2,"Hombre","40 a 49",1,1129.48376464844,3388.451171875,2284.86665772358,2284.86665772358,2284.86665772358,3388.451171875,2284.86665772358,1.20265050645244,1.20194059249427,2.32023393509642,1.57118490523066
5101035,6,1,510103,2,"Mujer","60 o más",1,564.741943359375,564.741943359375,1090.63249363579,1090.63249363579,1090.63249363579,564.741943359375,1090.63249363579,0.301399828793374,0.301303482820598,0.164334198585501,0.26985731937622
5101044,6,1,510104,2,"Mujer","40 a 49",2,1468.32897949219,1468.32897949219,2713.00386595677,2713.00386595677,2713.00386595677,1468.32897949219,2713.00386595677,0.848046811782867,0.847533809281855,0.526536083712231,NA
5101053,6,1,510105,2,"Hombre","60 o más",1,282.370971679688,282.370971679688,653.271242461729,653.271242461729,653.271242461729,282.370971679688,653.271242461729,0.303995583672973,0.30390285703567,0.156900283940032,0.339882298333228
5101055,6,1,510105,2,"Hombre","30 a 39",1,1129.48388671875,1129.48388671875,2581.04832890987,2581.04832890987,2581.04832890987,1129.48388671875,2581.04832890987,1.74335153781982,1.74237968431055,1.00497903960455,1.97411554121172
5101062,6,1,510106,2,"Hombre","40 a 49",1,1129.48364257812,1355.38037109375,2173.87598643594,2173.87598643594,2173.87598643594,1355.38037109375,2173.87598643594,1.14423003513769,1.14355460626708,0.92809350716868,1.49486234751856
5101068,6,1,510106,2,"Hombre","30 a 39",2,1129.48364257812,1355.38037109375,2610.43703470623,2610.43703470623,2610.43703470623,1355.38037109375,2610.43703470623,1.76320193925196,1.7622190198837,1.20597458685113,NA
5101072,6,1,510107,2,"Hombre","40 a 49",1,1468.32873535156,2202.4931640625,4266.40363289216,4266.40363289216,4266.40363289216,2202.4931640625,4266.40363289216,2.24564198198783,2.24431639938547,1.50815199094278,2.93378563907092
5101075,6,1,510107,2,"Mujer","60 o más",1,1468.32873535156,2202.4931640625,2654.19399465235,2654.19399465235,2654.19399465235,2202.4931640625,2654.19399465235,0.733495123463436,0.733260653186927,0.640903253711281,0.656732382980451
5101087,6,1,510108,2,"Mujer","40 a 49",2,1468.32897949219,2936.65795898438,2657.96308338897,2657.96308338897,2657.96308338897,2936.65795898438,2657.96308338897,0.830841838078124,0.830339243250862,1.05307216742446,NA
5101092,6,1,510109,2,"Hombre","40 a 49",2,2202.4931640625,2936.65771484375,5949.6363890871,5949.6363890871,5949.6363890871,2936.65771484375,5949.6363890871,3.13161960342682,3.12977103606977,2.01086943270686,NA
5101094,6,1,510109,2,"Mujer","50 a 59",1,1468.32885742188,1957.77185058594,2477.93308826858,2477.93308826858,2477.93308826858,1957.77185058594,2477.93308826858,0.640019682302502,0.639689349282513,0.507085425377969,0.567504699884787
5101095,6,1,510109,2,"Mujer","60 o más",1,734.164428710938,978.885925292969,1262.54712710363,1262.54712710363,1262.54712710363,978.885925292969,1262.54712710363,0.348908995626969,0.348797462794556,0.284845912245764,0.31239449153998
5101103,6,1,510110,2,"Hombre","60 o más",1,282.370971679688,423.556457519531,585.099559969547,585.099559969547,585.099559969547,423.556457519531,585.099559969547,0.27227232836621,0.27218927815497,0.235350425910047,0.304414108979947
5101105,6,1,510110,2,"Hombre","60 o más",1,1129.48388671875,1694.22583007812,2524.62779313477,2524.62779313477,2524.62779313477,1694.22583007812,2524.62779313477,1.17481935472764,1.17446100396844,0.941401703640189,1.31350691870821
5101111,6,1,510111,2,"Hombre","60 o más",2,2202.4931640625,2202.4931640625,3755.73460695807,3755.73460695807,3755.73460695807,2202.4931640625,3755.73460695807,1.74770701624737,1.74717391970482,1.22382198411454,NA
5101112,6,1,510111,2,"Mujer","60 o más",1,734.164428710938,734.164428710938,1208.13237735768,1208.13237735768,1208.13237735768,734.164428710938,1208.13237735768,0.333871302955086,0.333764577096634,0.21363442974417,0.298930544163886
5101117,6,1,510111,2,"Mujer","40 a 49",1,2202.4931640625,2202.4931640625,3994.77652419644,3994.77652419644,3994.77652419644,2202.4931640625,3994.77652419644,1.24871089851363,1.2479555253372,0.789804016133702,1.30641058487275
5101125,6,1,510112,2,"Mujer","50 a 59",1,4404.986328125,5873.3154296875,6604.24580399214,6604.24580399214,6604.24580399214,5873.3154296875,6604.24580399214,1.7057955766966,1.70491516532814,1.52125624451629,1.51252693250839
5101126,6,1,510112,2,"Mujer","40 a 49",1,2936.65771484375,3915.54370117188,5084.33195372812,5084.33195372812,5084.33195372812,3915.54370117188,5084.33195372812,1.58929058580029,1.58832918834673,1.4040961356849,1.66272757465281
5101131,6,1,510113,2,"Mujer","60 o más",1,1468.32897949219,2447.21484375,2160.48663779171,2160.48663779171,2160.48663779171,2447.21484375,2160.48663779171,0.597057493280819,0.5968666368851,0.712114789494716,0.534573411323017
5101136,6,1,510113,2,"Mujer","60 o más",1,734.164489746094,1223.607421875,1070.61235685416,1070.61235685416,1070.61235685416,1223.607421875,1070.61235685416,0.295867199027054,0.295772621623952,0.356057394747358,0.264903697989582
5101137,6,1,510113,2,"Hombre","18 a 29",2,1468.32897949219,2447.21484375,2772.15820273692,2772.15820273692,2772.15820273692,2447.21484375,2772.15820273692,4.09724477722693,4.09358948672141,4.68506925845056,NA
5101141,6,1,510114,2,"Mujer","60 o más",2,734.164489746094,2202.49340820312,1107.37587627491,1107.37587627491,1107.37587627491,2202.49340820312,1107.37587627491,0.306026916919116,0.30592909184362,0.640903324753736,NA
5101151,6,1,510115,2,"Mujer","50 a 59",1,1468.32885742188,1835.4111328125,2058.5339219566,2058.5339219566,2058.5339219566,1835.4111328125,2058.5339219566,0.531694028776286,0.531419605818536,0.475392592220148,0.471452470251695
